member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,next_payment_date,last_credit_pull_date,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type
41339944,12000,12000.0,12000.0,36 ,12.39,400.82,C,C1,10+ ,RENT,75000.0,Not Verified,Jan-2021,Charged Off,n,credit_card,24.26,1,Jul-2004,1,13.0,,12,33,0.0,0.0,2453.14,2453.14,1705.0,748.14,0.0,0.0,0.0,Jul-2021,400.82,,Jan-2022,0.0,,1,INDIVIDUAL
41338759,10000,10000.0,10000.0,,15.99,351.53,D,D2,10+ ,RENT,52000.0,Source Verified,Jan-2021,Charged Off,n,other,37.03,0,Jan-1995,2,79.0,69.0,22,37,0.0,0.0,2120.61,2120.61,1354.08,766.53,0.0,0.0,0.0,Jul-2021,363.36,,Jan-2022,0.0,79.0,1,INDIVIDUAL
41338041,30000,30000.0,30000.0,36 ,15.99,1054.57,D,D2,9 ,RENT,130000.0,Source Verified,Jan-2021,Charged Off,n,other,22.3,0,Dec-2001,1,57.0,,15,44,0.0,0.0,7328.69,7328.69,4771.1,2557.59,0.0,0.0,0.0,Aug-2021,1054.57,,Jan-2022,0.0,,1,INDIVIDUAL
41329676,6425,6425.0,6425.0,36 ,15.99,225.86,D,D2,,MORTGAGE,27600.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,30.61,0,Sep-1995,0,73.0,64.0,11,36,0.0,0.0,1151.5,1151.5,720.17,431.33,0.0,0.0,0.0,Jul-2021,225.86,,Dec-2021,0.0,,1,INDIVIDUAL
41329474,24000,24000.0,24000.0,60 ,15.99,583.51,D,D2,10+ ,MORTGAGE,89600.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,21.64,1,Feb-1999,1,0.0,,14,25,0.0,0.0,2896.23,2896.23,1354.16,1542.07,0.0,0.0,0.0,Jun-2021,583.51,,Mar-2021,0.0,,1,INDIVIDUAL
41328715,25000,25000.0,25000.0,36 ,16.49,884.99,D,D3,10+ ,OWN,85000.0,Verified,Jan-2021,Charged Off,n,credit_card,12.78,0,Sep-1993,2,,89.0,13,29,0.0,0.0,5264.13,5264.13,3362.36,1901.77,0.0,0.0,0.0,Jul-2021,884.99,,Jan-2022,0.0,,1,INDIVIDUAL
41328586,20000,20000.0,20000.0,36 ,17.14,714.45,D,D4,8 ,MORTGAGE,115000.0,Verified,Jan-2021,Charged Off,n,home_improvement,17.84,0,Dec-2002,4,,,17,21,0.0,0.0,4267.66,4267.66,2666.34,1601.32,0.0,0.0,0.0,Jul-2021,714.45,,Jan-2022,0.0,,1,INDIVIDUAL
41328431,16000,16000.0,16000.0,60 ,16.49,393.27,D,D3,3 ,RENT,39000.0,Source Verified,Jan-2021,Charged Off,n,credit_card,35.69,0,Feb-2008,0,,,11,14,0.0,0.0,2330.3,2330.3,1076.82,1253.48,0.0,0.0,0.0,Jul-2021,393.27,,Jan-2022,0.0,,1,INDIVIDUAL
41327843,10000,10000.0,10000.0,36 ,14.31,343.29,C,C4,,OWN,30000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,17.28,0,Aug-2004,0,33.0,57.0,7,18,0.0,0.0,2387.13,2387.13,1625.51,761.62,0.0,0.0,0.0,Aug-2021,343.29,,Jan-2022,1.0,,1,INDIVIDUAL
41318856,12800,12800.0,12550.0,60 ,14.31,299.9,C,C4,6 ,RENT,40000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,21.3,0,Aug-2005,0,,,10,20,0.0,0.0,881.35,864.14,447.07,432.28,2.0,0.0,0.0,Jun-2021,1.0,,Jan-2022,0.0,,1,INDIVIDUAL
41318496,13100,13100.0,13100.0,60 ,21.99,361.74,E,E5,,OWN,30000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,30.08,0,Nov-1965,0,,,8,23,0.0,0.0,1414.95,1414.95,500.27,914.68,0.0,0.0,0.0,May-2021,361.74,,Feb-2021,0.0,,1,INDIVIDUAL
41318387,16000,16000.0,16000.0,60 ,,405.08,D,D5,2 ,RENT,48000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,23.94,0,Oct-2007,4,,,15,16,0.0,0.0,3244.57,3244.57,166.95,198.44,0.0,2879.18,518.2524,Feb-2021,405.08,,Jul-2021,0.0,,1,INDIVIDUAL
41309929,10000,10000.0,10000.0,60 ,16.49,245.8,D,D3,3 ,OWN,50400.0,Source Verified,Jan-2021,Charged Off,n,other,33.62,0,Jul-2005,0,,,6,13,0.0,0.0,1219.84,1219.84,557.02,662.82,0.0,0.0,0.0,Jun-2021,245.8,,Jan-2022,0.0,,1,INDIVIDUAL
41309521,10375,10375.0,10375.0,36 ,17.86,374.36,D,D5,5 ,RENT,29000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,31.08,0,Oct-2004,0,29.0,,26,63,0.0,0.0,2545.52,2545.52,443.16,295.27,0.0,1807.09,325.276200002,Mar-2021,374.36,,Aug-2021,0.0,29.0,1,INDIVIDUAL
41300134,20575,20575.0,20575.0,36 ,12.39,687.23,C,C1,1 ,RENT,92500.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,9.42,0,Apr-1986,1,,,14,16,0.0,0.0,3421.32,3421.32,2641.86,779.46,0.0,0.0,0.0,May-2021,687.23,,Jan-2022,0.0,,1,INDIVIDUAL
41299366,20000,20000.0,20000.0,36 ,15.99,703.05,D,D2,< 1 ,MORTGAGE,58000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,23.69,2,Sep-2005,1,1.0,,15,32,0.0,0.0,4200.53,4200.53,2708.12,1492.41,0.0,0.0,0.0,Jul-2021,703.05,,Jan-2022,0.0,,1,INDIVIDUAL
41299048,25000,25000.0,25000.0,60 ,19.99,662.21,E,E3,10+ ,MORTGAGE,135000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,31.63,0,Oct-1995,2,,,18,50,0.0,0.0,4579.94,4579.94,1808.66,2771.28,0.0,0.0,0.0,Aug-2021,662.21,,Jan-2022,0.0,,1,INDIVIDUAL
41298840,16000,16000.0,16000.0,36 ,7.49,497.63,A,A4,3 ,OWN,162000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,7.62,0,Jun-2002,1,,23.0,13,27,0.0,0.0,1977.2,1977.2,1606.01,371.19,0.0,0.0,0.0,May-2021,497.63,,Dec-2021,0.0,,1,INDIVIDUAL
41279993,18000,18000.0,18000.0,,13.66,415.67,C,C3,2 ,MORTGAGE,97500.0,Not Verified,Jan-2021,Charged Off,n,home_improvement,1.16,0,Jul-1985,1,65.0,63.0,5,33,0.0,0.0,2896.03,2896.03,1526.74,1369.29,0.0,0.0,0.0,Aug-2021,415.67,,Jan-2022,0.0,65.0,1,INDIVIDUAL
41279504,25000,25000.0,25000.0,60 ,15.99,607.82,D,D2,3 ,MORTGAGE,90000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,5.2,0,Oct-2003,0,36.0,,10,24,0.0,0.0,4232.53,4232.53,2001.46,2231.07,0.0,0.0,0.0,Aug-2021,607.82,,Jan-2022,0.0,,1,INDIVIDUAL
41279474,12000,12000.0,12000.0,60 ,16.49,294.96,D,D3,8 ,MORTGAGE,32500.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,12.74,1,Jul-1979,0,21.0,,9,20,0.0,0.0,1802.26,1802.26,807.66,994.6,0.0,0.0,0.0,Jul-2021,294.96,,Jan-2022,0.0,21.0,1,INDIVIDUAL
41278973,7000,7000.0,7000.0,36 ,9.49,224.2,B,B2,,MORTGAGE,27600.0,Verified,Jan-2021,Charged Off,n,credit_card,20.39,0,Jul-2000,0,,114.0,9,19,0.0,0.0,1748.22,1748.22,510.54,157.68,0.0,1080.0,194.400000001,Jul-2021,1.5,,Jan-2022,0.0,,1,INDIVIDUAL
41278465,20000,20000.0,20000.0,36 ,14.99,693.21,C,C5,9 ,RENT,60000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,18.8,0,Jan-2006,1,,,7,11,0.0,0.0,4807.53,4807.53,892.29,477.47,0.0,3437.77,618.7986,Mar-2021,693.21,,Aug-2021,0.0,,1,INDIVIDUAL
41277986,4000,4000.0,4000.0,36 ,17.86,144.33,D,D5,10+ ,MORTGAGE,75000.0,Not Verified,Jan-2021,Charged Off,n,other,35.04,0,Jul-1998,1,,,12,34,0.0,0.0,713.71,713.71,436.79,276.92,0.0,0.0,0.0,Jun-2021,144.33,,Jan-2022,0.0,,1,INDIVIDUAL
41269465,12000,12000.0,12000.0,60 ,17.14,299.14,D,D4,10+ ,RENT,47000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,32.48,5,Jun-1999,1,15.0,,15,46,0.0,0.0,1771.99,1771.99,794.34,977.65,0.0,0.0,0.0,Jul-2021,299.14,,Jan-2022,0.0,15.0,1,INDIVIDUAL
41259256,5000,5000.0,5000.0,36 ,10.49,162.49,B,B3,10+ ,RENT,30000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,28.8,1,Apr-1994,0,10.0,,18,39,0.0,0.0,1294.09,1294.09,979.84,314.25,0.0,0.0,0.0,Sep-2021,162.49,,Dec-2021,0.0,10.0,1,INDIVIDUAL
41258252,27500,27500.0,27500.0,36 ,12.99,926.46,C,C2,2 ,MORTGAGE,86000.0,Verified,Jan-2021,Charged Off,n,small_business,20.57,0,Feb-1998,2,,,21,44,0.0,0.0,6496.25,6496.25,1264.35,548.88,0.0,4683.02,842.943599987,Mar-2021,926.46,,Aug-2021,0.0,,1,INDIVIDUAL
41238868,15000,15000.0,15000.0,60 ,17.14,373.92,D,D4,10+ ,MORTGAGE,100000.0,Source Verified,Jan-2021,Charged Off,n,credit_card,25.57,0,Sep-1997,2,,,24,51,0.0,0.0,2214.95,2214.95,992.89,1222.06,0.0,0.0,0.0,Jul-2021,373.92,,Jan-2022,0.0,,1,INDIVIDUAL
41238457,9125,9125.0,9125.0,36 ,13.66,310.37,C,C3,< 1 ,MORTGAGE,56000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,37.38,0,Feb-1984,1,37.0,,11,27,0.0,0.0,2158.74,2158.74,1495.79,662.95,0.0,0.0,0.0,Aug-2021,310.37,,Jan-2022,0.0,54.0,1,INDIVIDUAL
41238219,18700,18700.0,18700.0,60 ,20.99,505.8,E,E4,10+ ,MORTGAGE,71000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,31.73,0,Jun-1989,0,81.0,,15,38,0.0,0.0,1979.59,1979.59,733.8,1245.79,0.0,0.0,0.0,May-2021,505.8,,Jan-2022,0.0,81.0,1,INDIVIDUAL
41229369,12800,,12800.0,36 ,,431.23,C,C2,10+ ,OWN,95000.0,Verified,Jan-2021,Charged Off,n,credit_card,37.92,0,Jun-1987,0,,,21,44,0.0,0.0,2599.7,2599.7,1800.93,777.21,21.56,0.0,0.0,Jul-2021,884.02,,Jul-2021,0.0,,1,INDIVIDUAL
41229265,5000,5000.0,5000.0,36 ,23.99,196.14,F,F2,< 1 ,RENT,50000.0,Verified,Jan-2021,Charged Off,n,other,18.31,0,Oct-2006,3,,,11,13,0.0,0.0,777.9,777.9,396.42,381.48,0.0,0.0,0.0,May-2021,196.14,,Dec-2021,0.0,,1,INDIVIDUAL
41228298,20000,20000.0,20000.0,60 ,24.99,586.91,F,F4,1 ,OWN,66972.0,Source Verified,Jan-2021,Charged Off,n,house,18.01,0,Mar-1987,0,34.0,,6,9,0.0,0.0,3493.69,3493.69,1077.19,2416.5,0.0,0.0,0.0,Jul-2021,586.91,,Jan-2022,0.0,34.0,1,INDIVIDUAL
41220018,14700,14700.0,14700.0,60 ,19.99,389.38,E,E3,1 ,RENT,41000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,19.23,0,Apr-2005,2,80.0,,9,16,0.0,0.0,1930.57,1930.57,746.99,1183.58,0.0,0.0,0.0,Jun-2021,389.38,,Dec-2021,0.0,,1,INDIVIDUAL
41219998,5950,5950.0,5950.0,36 ,19.99,221.1,E,E3,< 1 ,MORTGAGE,32000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,36.57,0,Oct-2005,3,79.0,,10,24,0.0,0.0,1304.15,1304.15,763.06,541.09,0.0,0.0,0.0,Jul-2021,221.1,,Jan-2022,0.0,,1,INDIVIDUAL
41219386,25850,25850.0,25850.0,60 ,25.99,773.81,G,G4,10+ ,MORTGAGE,81000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,17.36,0,Jul-2001,3,,117.0,15,31,0.0,0.0,6153.16,6153.16,1847.05,4306.11,0.0,0.0,0.0,Sep-2021,773.81,,Jan-2022,0.0,,1,INDIVIDUAL
41219251,14325,14325.0,14325.0,60 ,19.99,379.45,E,E3,7 ,RENT,48000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,20.4,0,Dec-1995,0,,,13,27,0.0,0.0,4861.97,4861.97,727.94,1269.13,0.0,2864.9,515.682000001,Jun-2021,379.45,,Sep-2021,0.0,,1,INDIVIDUAL
41217913,35000,35000.0,35000.0,,13.66,1190.45,C,C3,2 ,OWN,84012.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,25.34,0,Mar-1995,0,,,17,29,0.0,0.0,8306.72,8306.72,1593.08,734.7,0.0,5978.94,1076.20919999,Mar-2021,1190.45,,Aug-2021,0.0,,1,INDIVIDUAL
41208403,35000,35000.0,35000.0,36 ,,1107.63,B,B1,9 ,OWN,160000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,13.43,0,Feb-2003,0,31.0,,21,36,0.0,0.0,6612.06,6612.06,5222.06,1390.0,0.0,0.0,0.0,Jul-2021,1107.63,,Dec-2021,0.0,68.0,1,INDIVIDUAL
41198572,15000,15000.0,15000.0,60 ,19.99,397.33,E,E3,2 ,RENT,83200.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,13.11,0,Apr-1997,0,36.0,,17,32,0.0,0.0,1989.86,1989.86,759.29,1210.7,19.87,0.0,0.0,Jun-2021,397.33,,Dec-2021,0.0,36.0,1,INDIVIDUAL
41197260,28425,28425.0,28425.0,36 ,16.49,1006.23,D,D3,7 ,MORTGAGE,75000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,28.0,0,Sep-2003,2,,,24,32,0.0,0.0,9165.87,9165.87,5855.13,3310.74,0.0,0.0,0.0,Oct-2021,1006.23,,Jan-2022,0.0,,1,INDIVIDUAL
41166106,10000,10000.0,10000.0,36 ,7.49,311.02,A,A4,10+ ,MORTGAGE,92000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,4.04,0,Apr-1998,1,78.0,,4,10,0.0,0.0,306.86,306.86,248.6,58.26,0.0,0.0,0.0,Feb-2021,311.02,,Feb-2021,0.0,,1,INDIVIDUAL
41165742,6150,6150.0,6150.0,36 ,18.54,224.01,E,E1,< 1 ,RENT,87000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,20.91,2,Jul-2003,0,11.0,78.0,15,29,0.0,0.0,659.36,659.36,399.19,260.17,0.0,0.0,0.0,Apr-2021,224.01,,Jan-2022,0.0,11.0,1,INDIVIDUAL
41155807,20000,20000.0,20000.0,36 ,8.67,632.93,B,B1,7 ,RENT,77000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,14.1,4,Apr-1996,0,1.0,,14,45,0.0,0.0,3145.38,3145.38,2477.69,667.69,0.0,0.0,0.0,Jun-2021,632.93,,Dec-2021,0.0,42.0,1,INDIVIDUAL
41146110,24000,24000.0,24000.0,60 ,17.86,607.62,D,D5,7 ,RENT,72000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,17.22,0,May-1992,2,,,12,29,0.0,0.0,2382.85,2382.85,1024.27,1358.58,0.0,0.0,0.0,May-2021,607.62,,Dec-2021,0.0,,1,INDIVIDUAL
41145579,35000,35000.0,35000.0,60 ,24.99,1027.1,F,F4,6 ,RENT,120000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,17.1,0,Aug-2001,1,29.0,70.0,10,26,0.0,0.0,4011.22,4011.22,1230.68,2780.54,0.0,0.0,0.0,May-2021,1027.1,,Dec-2021,0.0,,1,INDIVIDUAL
41135889,12000,12000.0,12000.0,,19.99,317.86,E,E3,8 ,MORTGAGE,60000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,17.1,0,Aug-2006,0,,,8,33,0.0,0.0,3061.29,3061.29,359.81,567.12,0.0,2134.36,384.1848,Apr-2021,317.86,,Sep-2021,0.0,,1,INDIVIDUAL
41135686,5000,5000.0,5000.0,36 ,,177.0,D,D3,7 ,RENT,32000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,29.93,3,Nov-2004,1,22.0,,6,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Jan-2022,0.0,22.0,1,INDIVIDUAL
41125800,14400,14400.0,14400.0,60 ,,405.87,F,F1,1 ,RENT,85000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,11.34,0,Jan-1995,3,,33.0,25,44,0.0,0.0,1586.7,1586.7,535.09,1051.61,0.0,0.0,0.0,May-2021,405.87,,Dec-2021,0.0,,1,INDIVIDUAL
41125118,25000,25000.0,25000.0,60 ,24.99,733.64,F,F4,2 ,RENT,70704.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,17.87,0,Jun-2011,1,,,5,12,0.0,0.0,6682.23,6682.23,652.45,1479.05,0.0,4550.73,819.1314,Apr-2021,733.64,,Sep-2021,0.0,,1,INDIVIDUAL
41115688,8950,8950.0,8950.0,36 ,15.99,314.62,D,D2,9 ,RENT,43000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,19.15,0,May-2003,1,,,6,11,0.0,0.0,1242.58,1242.58,797.2,445.38,0.0,0.0,0.0,May-2021,314.62,,Jan-2022,0.0,,1,INDIVIDUAL
41115526,20000,20000.0,20000.0,36 ,14.31,686.57,C,C4,7 ,RENT,92000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,12.92,2,Jun-2001,1,6.0,,15,26,0.0,0.0,4162.9,4162.9,448.07,206.7,0.0,3508.13,631.4634,Feb-2021,686.57,,Jul-2021,0.0,59.0,1,INDIVIDUAL
41105674,35000,35000.0,35000.0,36 ,19.24,1287.22,E,E2,< 1 ,MORTGAGE,124800.0,Verified,Jan-2021,Charged Off,n,house,13.62,0,Apr-2001,3,35.0,,19,45,0.0,0.0,8696.09,8696.09,914.22,1585.4,64.36,6132.11,1103.77980001,Apr-2021,1351.58,,Aug-2021,0.0,,1,INDIVIDUAL
41095836,10000,10000.0,10000.0,60 ,14.31,234.3,C,C4,10+ ,RENT,35000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,31.62,0,Feb-1996,1,46.0,45.0,9,23,0.0,0.0,2426.21,2426.21,349.28,345.67,0.0,1731.26,311.6268,Apr-2021,234.3,,Dec-2021,0.0,68.0,1,INDIVIDUAL
41085708,13475,,13475.0,36 ,16.49,477.01,D,D3,10+ ,RENT,41000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,33.93,0,Aug-2004,0,59.0,,7,22,0.0,0.0,3314.38,3314.38,2129.06,1185.32,0.0,0.0,0.0,Aug-2021,477.01,,Jan-2022,0.0,59.0,1,INDIVIDUAL
